LATITUD_DESTINO,LONGITUD_DESTINO,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID
3.45297491831844,-76.5313634424706,43,7,0,6135
3.45297491831844,-76.5313634424706,43,7,0,6137
3.45384637947355,-76.5298314123795,75,10,0,6135
3.4634191652463,-76.5253727391587,4,2,0,6135
3.4634191652463,-76.5253727391587,4,2,0,6137
3.4634191652463,-76.5253727391587,4,2,0,6135
3.4634191652463,-76.5253727391587,4,2,0,6137
3.4398103356365,-76.522518369508,50,7,0,6135
3.4398103356365,-76.522518369508,50,7,0,6137
3.44524469691041,-76.5148320438954,57,4,0,6135
3.44524469691041,-76.5148320438954,57,4,0,6137
3.44524469691041,-76.5148320438954,57,4,0,6135
3.44524469691041,-76.5148320438954,57,4,0,6137
3.44524469691041,-76.5148320438954,38,2,0,6137
3.44524469691041,-76.5148320438954,38,2,0,6135
3.42300676194683,-76.5471434261955,29,15,0,6135
3.41840956522489,-76.5482712818292,16,7,0,6135
3.44506799102323,-76.4875814710183,7,8,0,6135
3.44402100008543,-76.5209314646704,13,7,0,6135
3.44402100008543,-76.5209314646704,13,7,0,6137
3.44332180671126,-76.4839397169372,27,15,0,6137
3.44332180671126,-76.4839397169372,27,15,0,6137
3.44801119892302,-76.5299371464294,61,18,0,6138
3.44845956177583,-76.5277138083573,36,10,0,6135
3.44845956177583,-76.5277138083573,36,10,0,6135
3.44845956177583,-76.5277138083573,36,10,0,6137
3.4398103356365,-76.522518369508,45,8,0,6137
3.4398103356365,-76.522518369508,45,8,0,6137
3.44524469691041,-76.5148320438954,23,4,0,6137
3.44524469691041,-76.5148320438954,23,4,0,6135
3.48890402204464,-76.5078521568375,61,7,0,8373
3.48890402204464,-76.5078521568375,61,7,0,8369
3.44845956177583,-76.5277138083573,30,10,0,6137
3.44845956177583,-76.5277138083573,30,10,0,6135
3.44845956177583,-76.5277138083573,30,10,0,6135
3.44845956177583,-76.5277138083573,30,10,0,6137
3.44845956177583,-76.5277138083573,30,10,0,6135
3.44845956177583,-76.5277138083573,30,10,0,6135
3.45297491831844,-76.5313634424706,45,9,0,6137
3.45297491831844,-76.5313634424706,45,9,0,6137
3.45297491831844,-76.5313634424706,45,9,0,6137
3.45297491831844,-76.5313634424706,45,9,0,6137
3.45297491831844,-76.5313634424706,45,9,0,6137
3.45297491831844,-76.5313634424706,45,9,0,6137
3.44801119892302,-76.5299371464294,48,15,0,6137
3.44801119892302,-76.5299371464294,48,15,0,6135
3.44801119892302,-76.5299371464294,48,15,0,6135
3.44332180671126,-76.4839397169372,59,17,0,6141
3.44332180671126,-76.4839397169372,59,17,0,6138
3.41432646569837,-76.5482149554339,56,7,0,6137
3.41432646569837,-76.5482149554339,56,7,0,6138
3.36714761458388,-76.52949647924,20,12,0,6137
3.36714761458388,-76.52949647924,20,12,0,6138
3.36714761458388,-76.52949647924,20,12,0,6135
3.36714761458388,-76.52949647924,20,12,0,6137
3.36714761458388,-76.52949647924,20,12,0,6137
3.37095244638537,-76.5369932534761,1,2,0,8373
3.37095244638537,-76.5369932534761,1,2,0,8373
3.37095244638537,-76.5369932534761,1,2,0,8373
3.37095244638537,-76.5369932534761,1,2,0,8373
3.37095244638537,-76.5369932534761,1,2,0,8373
3.41840956522489,-76.5482712818292,10,12,0,6138
3.41840956522489,-76.5482712818292,10,12,0,6135
3.44845956177583,-76.5277138083573,22,11,0,6135
3.44332180671126,-76.4839397169372,77,6,0,6135
3.44332180671126,-76.4839397169372,77,6,0,6137
3.44332180671126,-76.4839397169372,72,11,0,6135
3.44332180671126,-76.4839397169372,26,18,0,6137
